      rus           |   lat          |      eng
Канадская казарка  |  Branta canadensis  |  Canada Goose
Малая канадская казарка  |  Branta hutchinsii  |  Hutchin's Goose
Белощекая казарка  |  Branta leucopsis  |  Barnacle Goose
Американская казарка  |  Branta nigricans  |  Black Brant
Малый гоголь  |  Bucephala albeola  |  Bufflehead
Обыкновенный гоголь  |  Bucephala clangula  |  Goldeneye
Исландский гоголь  |  Bucephala islandica  |  Barrow's Goldeneye
Белый гусь  |  Anser caerulescens  |  Snow Goose
Гусь Росса  |  Anser rossii  |  Ross's Goose
Морянка  |  Clangula hyemalis  |  
Сухонос  |  Anser cygnoides  |  
Малый лебедь  |  Cygnus bewickii  |  
Лебедь-трубач  |  Cygnus buccinator  |  Trumpeter Swan
Американский лебедь  |  Cygnus columbianus  |  Whistling Swan
Лебедь-кликун  |  Cygnus cygnus  |  Whooper swan
Лебедь-шипун  |  Cygnus olor  |  Mute swan
Горный гусь  |  Anser indicus  |  
Каменушка  |  Histrionicus histrionicus  |  Harlequin Duck
Американская синьга  |  Melanitta americana  |  Black American Scoter
Горбоносый турпан  |  Melanitta deglandi  |  
Обыкновенный турпан  |  Melanitta fusca  |  Velvet Scoter
Синьга  |  Melanitta nigra  |  
Пестроносый турпан  |  Melanitta perspicillata  |  Surf Scoter
Луток  |  Mergellus albellus  |  
Большой крохаль  |  Mergus merganser  |  Common Merganser
Длинноносый крохаль  |  Mergus serrator  |  Red-breasted Merganser
Чешуйчатый крохаль  |  Mergus squamatus  |  Chinese Merganser
Красноносый нырок  |  Netta rufina  |  Red-crested Pochard
Чирок хлопковый блестящий  |  Nettapus coromandelianus  |  Cotton Pygmy Goose
Савка  |  Oxyura leucocephala  |  
Белошей  |  Chen canagica  |  Emperor Goose
Сибирская гага  |  Polysticta stelleri  |  Steller's Eider
Краснозобая казарка  |  Branta ruficollis  |  Red-breasted Goose
Очковая гага  |  Somateria fischeri  |  Spectacled Eider
Обыкновенная гага  |  Somateria mollissima  |  Common Eider
Гага-гребенушка  |  Somateria spectabilis  |  King Eider
Хохлатая пеганка  |  Tadorna cristata  |  Crested Shelduck
Огарь  |  Tadorna ferruginea  |  Ruddy Shelduck
Пеганка  |  Tadorna tadorna  |  Common Shelduck
Скопа  |  Pandion haliaetus  |  Osprey
Туркестанский тювик  |  Accipiter badius  |  Shikra
Европейский тювик  |  Accipiter brevipes  |  Levant Sparrowhawk
Тетеревятник  |  Accipiter gentilis  |  Northern Goshawk
Малый перепелятник  |  Accipiter virgatus  |  Japanese Sparrowhawk
Перепелятник  |  Accipiter nisus  |  Eurasian Sparrowhawk
Короткопалый ястреб  |  Accipiter soloensis  |  Chinese Sparrowhawk
Черный гриф  |  Aegypius monachus  |  Cinereous Vulture
Беркут  |  Aquila chrysaetos  |  Golden Eagle
Большой подорлик  |  Aquila clanga  |  Greater Spotted Eagle
Могильник  |  Aquila heliaca  |  Imperial Eagle
Степной орел  |  Aquila rapax  |  Steppe Eagle
Малый подорлик  |  Aquila pomarina  |  Lesser Spotted Eagle
Ястребиный сарыч  |  Butastur indicus  |  Grey-faced Buzzard
Обыкновенный канюк  |  Buteo buteo  |  Common Buzzard
Мохноногий курганник  |  Buteo hemilasius  |  Upland Buzzard
Зимняк  |  Buteo lagopus  |  Rough-legged Buzzard
Курганник  |  Buteo rufinus  |  Long-legged Buzzard
Змееяд  |  Circaetus gallicus  |  Short-toed Eagle около
Болотный лунь  |  Circus aeruginosus  |  Marsh harrier
Полевой лунь  |  Circus cyaneus  |  Northern Harrier
Степной лунь  |  Circus macrourus  |  Pallid Harrier
Пегий лунь  |  Circus melanoleucos  |  Pied Harrier
Луговой лунь  |  Circus pygargus  |  Montagu's Harrier
Лунь восточный болотный  |  Circus spilonotus  |  Eastern Marsh Harrier
Коршун дымчатый  |  Elanus caeruleus  |  Black-winged Kite
Бородач  |  Gypaetus barbatus  |  Bearded Vulture
Белоголовый  |  Gyps fulvus  |  Griffon Vulture
Кумай  |  Gyps himalayensis  |  Himalayan Griffon
Орлан-белохвост  |  Haliaeetus albicilla  |  White-tailed Eagle
Белоголовый орлан  |  Haliaeetus leucocephalus  |  Bald Eagle
Орлан-долгохвост  |  Haliaeetus leucoryphus  |  Pallas's Sea-Eagle
Белоплечий орлан  |  Haliaeetus pelagicus  |  Steller's Sea-eagle
Орел ястребиный  |  Hieraaetus fasciatus  |  Bonelli's Eagle
Орел-карлик  |  Hieraaetus pennatus  |  Booted Eagle
Черный коршун  |  Milvus migrans  |  Black Kite
Красный коршун  |  Milvus milvus  |  Kite
Стервятник  |  Neophron percnopterus  |  Egyptian Vulture
Хохлатый осоед  |  Pernis ptilorhyncus  |  Oriental Honey Buzzard
Индийский гриф  |  Pseudogyps bengalensis  |  Indian White-rumped Vulture
Хохлатый орел  |  Spizaetus nipalensis  |  Mountain Hawk-eagle
Кречет алтайский  |  Falco altaicus  |  Altai Falcon
Амурский кобчик  |  Falco amurensis  |  Amur Falcon
Сокол средиземноморский  |  Falco biarmicus  |  Lanner Falcon
Балобан  |  Falco cherrug  |  Saker Falcon
Дербник  |  Falco columbarius  |  Merlin
Сокол Элеоноры  |  Falco eleonorae  |  Eleonora's Falcon
Лаггар  |  Falco jugger  |  Laggar Falcon
Степная пустельга  |  Falco naumanni  |  Lesser Kestrel
Шахин  |  Falco pelegrinoides  |  Barbary Falcon
Сапсан  |  Falco peregrinus  |  Peregrine Falcon
Кречет  |  Falco rusticolus  |  Gyrfalcon
Пустельга американская  |  Falco sparverius  |  American Kestrel
Чеглок  |  Falco subbuteo  |  Eurasian Hobby
Обыкновенная пустельга  |  Falco tinnunculus  |  Common Kestrel
Кобчик  |  Falco vespertinus  |  Red-footed Falcon
Рябчик  |  Bonasa bonasia  |  Hazel grouse
Дикуша  |  Dendragapus falcipennis  |  Siberian Grouse
Белая куропатка  |  Lagopus lagopus  |  Willow Grouse
Тундряная куропатка  |  Lagopus mutus  |  Rock Ptarmigan
Кавказский тетерев  |  Lyrurus mlokosiewiczi  |  Caucasian Grouse
Тетерев  |  Lyrurus tetrix  |  Black Grouse ♀700
Каменный глухарь  |  Tetrao parvirostris  |  Black-billed Capercaillie
Глухарь  |  Tetrao urogallus  |  Western Capercaillie
Кеклик  |  Alectoris  |  Chukar Partridge
Куропатка пустынная  |  Ammoperdix griseogularis  |  See-see Partridge
Перепел  |  Coturnix coturnix  |  Common Quail
Японский перепел  |  Coturnix japonica  |  Japanese quail
Турач  |  Francolinus francolinus  |  Black Francolin
Бородатая куропатка  |  Perdix daurica  |  Daurian Partridge
Серая куропатка  |  Perdix perdix  |  Grey Partridge
Фазан  |  Phasianus colchicus  |  Common Pheasant
Алтайский улар  |  Tetraogallus altaicus  |  Altai Snowcock
Улар каспийский  |  Tetraogallus caspius  |  Caspian Snowcock
Кавказский улар  |  Tetraogallus caucasicus  |  Caucasian Snowcock
Улар гималайский  |  Tetraogallus himalayensis  |  Himalayan Snowcock
Улар тибетский  |  Tetraogallus tibetanus  |  Tibetan Snowcock
Красавка  |  Anthropoides virgo  |  Demoiselle Crane
Канадский журавль  |  Grus canadensis  |  Sandhill Crane
Серый журавль  |  Grus grus  |  Common Crane
Японский журавль  |  Grus japonensis  |  Red-crowned Crane
Стерх  |  Grus leucogeranus  |  Siberian Crane
Черный журавль  |  Grus monacha  |  Hooded Crane
Даурский журавль  |  Grus vipio  |  White-naped Crane
Белогрудый погоныш  |  Amaurornis phoenicurus  |  White-breasted Waterhen
Коростель  |  Crex crex  |  Corn Crake
Лысуха  |  Fulica atra  |  Coot
Рогатая камышница  |  Gallicrex cinerea  |  Watercock
Камышница  |  Gallinula chloropus  |  Common Moorhen
Султанка  |  Porphyrio porphyrio  |  Purple Swamphen
Каролинский погоныш  |  Porzana carolina  |  Sora Rail
Белокрылый погоныш  |  Coturnicops exquisitus  |  White-winged Quail Crake
Красноногий погоныш  |  Porzana fusca  |  Ruddy-breasted Crake
Малый погоныш  |  Porzana parva  |  Little Crake
Большой погоныш  |  Porzana paykullii  |  Band-bellied Crake
Погоныш  |  Porzana porzana  |  Spotted Crake
Погоныш-крошка  |  Porzana pusilla  |  Baillon's Crake
Водяной пастушок  |  Rallus aquaticus  |  Water Rail
Пастушок восточный  |  Rallus indicus  |  Brown-cheeked Rail
Дрофа-красотка  |  Chlamydotis macqueenii  |  Houbara Bustard
Дрофа  |  Otis tarda  |  Great Bustard
Стрепет  |  Tetrax tetrax  |  Little Bustard
Трехперстка  |  Turnix tanki  |  Yellow-legged Buttonquail
Водяной фазанчик  |  Hydrophasianus chirurgus  |  Water Pheasant
Авдотка  |  Burhinus oedicnemus  |  Stone Curlew
Цветной бекас  |  Rostratula benghalensis  |  Greater Painted-snipe
Камнешарка  |  Arenaria interpres  |  Ruddy Turnstone
Черная камнешарка  |  Arenaria melanocephala  |  Black Turnstone
Морской зуек  |  Charadrius alexandrinus  |  Kentish Plover
Каспийский зуек  |  Charadrius asiaticus  |  Caspian Plover
Малый зуек  |  Charadrius dubius  |  Little Ringed Plover
Галстучник  |  Charadrius hiaticula  |  Ringed Plover
Толстоклювый зуек  |  Charadrius leschenaultii  |  Greater Sand Plover
Монгольский зуек  |  Charadrius mongolus  |  Mongolian Plover
Уссурийский зуек  |  Charadrius placidus  |  Long-billed Plover
Перепончатопалый галстучник  |  Charadrius semipalmatus  |  Semipalmated Plover
Восточный зуек  |  Charadrius veredus  |  Oriental Plover
Крикливый зуёк  |  Charadrius vociferus  |  Killdeer
Кречетка  |  Vanellus gregarius  |  Sociable Plover
Хрустан  |  Charadrius morinellus  |  Eurasian Dotterel
Чибис шпорцевый  |  Hoplopterus spinosus  |  Spur-winged Lapwing
Чибис украшенный  |  Lobivanellus indicus  |  Red-wattled Lapwing
Серый чибис  |  Vanellus cinereus  |  Grey-headed Lapwing
Золотистая ржанка  |  Pluvialis apricaria  |  Golden Plover
Американская бурокрылая ржанка  |  Pluvialis dominica  |  American Golden-Plover
Азиатская бурокрылая ржанка  |  Pluvialis fulva  |  Pacific Golden-Plover
Тулес  |  Pluvialis squatarola  |  Grey Plover
Белохвостая пигалица  |  Vanellochettusia leucura  |  White-tailed Lapwing
Чибис  |  Vanellus vanellus  |  Northern Lapwing
Ходулочник  |  Himantopus himantopus  |  Black-winged Stilt
Шилоклювка  |  Recurvirostra avosetta  |  Avocet
Черный кулик-сорока  |  Haematopus bachmani  |  Black Oystercatcher
Кулик-сорока  |  Haematopus ostralegus  |  Oystercatcher
Серпоклюв  |  Ibidorhyncha struthersii  |  Ibisbill
Перевозчик  |  Actitis hypoleucos  |  Common Sandpiper
Пятнистый перевозчик  |  Actitis macularius  |  Spotted Sandpiper
Острохвостый песочник  |  Calidris acuminata  |  Sharp-tailed Sandpiper
Песчанка  |  Calidris alba  |  Sanderling
Чернозобик  |  Calidris alpina  |  Dunlin
Бэрдов песочник  |  Calidris bairdii  |  Baird's Sandpiper
Исландский песочник  |  Calidris canutus  |  Knot
Краснозобик  |  Calidris ferruginea  |  Curlew Sandpiper
Бонапартов песочник  |  Calidris fuscicollis  |  White-rumped Sandpiper
Морской песочник  |  Calidris maritima  |  Purple Sandpiper
Перепончатопалый песочник  |  Calidris mauri  |  Western Sandpiper
Дутыш  |  Calidris melanotos  |  Pectoral Sandpiper
Кулик-воробей  |  Calidris minuta  |  Little Stint
Песочник-крошка  |  Calidris minutilla  |  Least Sandpiper
Берингийский песочник  |  Calidris ptilocnemis  |  Rock Sandpiper
Малый песочник  |  Calidris pusilla  |  Semipalmated Sandpiper
Песочник-красношейка  |  Calidris ruficollis  |  Red-necked Stint
Длиннопалый песочник  |  Calidris subminuta  |  Long-toed Stint
Белохвостый песочник  |  Calidris temminckii  |  Temminck's Stint
Большой песочник  |  Calidris tenuirostris  |  Great Knot
Лопатень  |  Eurynorhynchus pygmeus  |  Spoon-billed Sandpiper
Бекас американский  |  Gallinago delicata  |  Wilson's Snipe
