      rus           |   lat          |      eng
Бородатая неясыть  |  Strix nebulosa  |  Great Grey
Длиннохвостая неясыть  |  Strix uralensis  |  Ural
Ястребиная сова  |  Surnia ulula  |  Northern Hawk-Owl
Сипуха  |  Tyto alba  |  Barn
Козодой буланый  |  Caprimulgus aegyptius  |  Egyptian Nightjar
Обыкновенный козодой  |  Caprimulgus europaeus  |  European Nightjar
Большой козодой  |  Caprimulgus indicus  |  Jungle Nightjar
Стриж малый  |  Apus affinis  |  Little Swift
Черный стриж  |  Apus apus  |  Common Swift
Белобрюхий стриж  |  Apus melba  |  Alpine Swift
Белопоясный стриж  |  Apus pacificus  |  Pacific Swift
Иглохвостый стриж  |  Hirundapus caudacutus  |  White-throated Needletail
Охристый колибри  |  Selasphorus rufus  |  Rufous Hummingbird
Сизоворонка  |  Coracias garrulus  |  European Roller
Широкорот  |  Eurystomus orientalis  |  Dollarbird
Обыкновенный зимородок  |  Alcedo atthis  |  Common Kingfisher
Большой пегий зимородок  |  Ceryle lugubris  |  Crested Kingfisher
Малый пегий зимородок  |  Ceryle rudis  |  Pied Kingfisher
Рыжий зимородок  |  Halcyon coromanda  |  Ruddy Kingfisher
Ошейниковый зимородок  |  Halcyon pileata  |  Black-capped Kingfisher
Красноносый зимородок  |  Halcyon smyrnensis  |  White-throated Kingfisher
Золотистая щурка  |  Merops apiaster  |  European Bee-eater
Зеленая щурка  |  Merops superciliosus  |  Olive Bee-eater
Удод  |  Upupa epops  |  Hoopoe
Большой острокрылый дятел  |  Dendrocopos canicapillus  |  Grey-capped Pygmy Woodpecker
Рыжебрюхий дятел  |  Dendrocopos hyperythrus  |  Rufous-bellied Woodpecker
Карликовый дятел  |  Dendrocopos kizuki  |  Japanese Pygmy Woodpecker
Белокрылый дятел  |  Dendrocopos leucopterus  |  White-winged Woodpecker
Белоспинный дятел  |  Dendrocopos leucotos  |  White-backed Woodpecker
Большой пестрый дятел  |  Dendrocopos major  |  Great Spotted Woodpecker
Средний пестрый дятел  |  Dendrocopos medius  |  Middle Spotted Woodpecker
Малый пёстрый дятел  |  Dendrocopos minor  |  Lesser Spotted Woodpecker
Сирийский дятел  |  Dendrocopos syriacus  |  Syrian Woodpecker
Желна  |  Dryocopus martius  |  Black Woodpecker
Вертишейка  |  Jynx torquilla  |  Eurasian Wryneck
Трехпалый дятел  |  Picoides tridactylus  |  Eurasian Three-toed Woodpecker
Седой дятел  |  Picus canus  |  Grey-headed Woodpecker
Дятел чешуйчатый  |  Picus squamatus  |  Scaly-bellied Woodpecker
Зеленый дятел  |  Picus viridis  |  European Green Woodpecker
Рыжепоясничная ласточка  |  Cecropis daurica  |  Red-rumped Swallow
Восточный воронок  |  Delichon dasypus  |  Asian House Martin
Городская ласточка  |  Delichon urbica  |  Common House Martin
Деревенская ласточка  |  Hirundo rustica  |  Barn Swallow
Нитехвостая ласточка  |  Hirundo smithii  |  Wire-tailed Swallow
Белолобая ласточка  |  Petrochelidon pyrrhonota  |  American Cliff Swallow
Большая ласточка  |  Progne subis  |  Purple Martin
Скальная ласточка  |  Ptyonoprogne rupestris  |  Eurasian Crag Martin
Береговушка малая  |  Riparia chinensis  |  Grey-throated Martin
Бледная береговушка  |  Riparia diluta  |  Pale Sand Martin
Береговая ласточка  |  Riparia riparia  |  Sand Martin
Речная ласточка  |  Tachycineta bicolor  |  Tree Swallow
Полевой жаворонок  |  Alauda arvensis  |  Eurasian Skylark
Жаворонок индийский  |  Alauda gulgula  |  Oriental Skylark
Японский жаворонок  |  Alauda japonica  |  Japanese Skylark
Жаворонок пустынный  |  Ammomanes deserti  |  Desert Lark
Жаворонок тонкоклювый  |  Calandrella acutirostris  |  Hume's Short-toed Lark
Солончаковый жаворонок  |  Calandrella cheleensis  |  Asian Short-toed Lark
Малый жаворонок  |  Calandrella cinerea  |  Red-capped Lark
Серый жаворонок  |  Calandrella rufescens  |  Lesser Short-toed Lark
Рогатый жаворонок  |  Eremophila alpestris  |  Horned Lark
Хохлатый жаворонок  |  Galerida cristata  |  Crested Lark
Лесной жаворонок  |  Lullula arborea  |  Woodlark
Двупятнистый жаворонок  |  Melanocorypha bimaculata  |  Bimaculated Lark
Степной жаворонок  |  Melanocorypha calandra  |  Calandra Lark
Белокрылый жаворонок  |  Melanocorypha leucoptera  |  White-winged Lark
Монгольский жаворонок  |  Melanocorypha mongolica  |  Mongolian Lark
Черный жаворонок  |  Melanocorypha yeltoniensis  |  Black Lark
Полевой конек  |  Anthus campestris  |  Tawny Pipit
Краснозобый конек  |  Anthus cervinus  |  Red-throated Pipit
Забайкальский конек  |  Anthus godlewskii  |  Blyth's Pipit
Сибирский конек  |  Anthus gustavi  |  Pechora Pipit
Пятнистый конек  |  Anthus hodgsoni  |  Olive-backed Pipit
Конек Мензбира  |  Anthus menzbieri  |  Menzbier's pipit
Конек скальный  |  Anthus petrosus  |  Eurasian Rock Pipit
Луговой конек  |  Anthus pratensis  |  Meadow Pipit
Степной конек  |  Anthus richardi  |  Richard's Pipit
Розовый конек  |  Anthus roseatus  |  Rosy Pipit
Американский конек  |  Anthus rubescens  |  Buff-bellied Pipit
Горный конек  |  Anthus spinoletta  |  Water Pipit
Лесной конек  |  Anthus trivialis  |  Tree Pipit
Древесная трясогузка  |  Dendronanthus indicus  |  Forest Wagtail
Белая трясогузка  |  Motacilla alba  |  White Wagtail
Желтоголовая черноспинная трясогузка  |  Motacilla citreola calcarata  |  Citrine wagtail yellow-headed wagtail
Горная трясогузка  |  Motacilla cinerea  |  Grey Wagtail
Желтоголовая трясогузка  |  Motacilla citreola  |  Citrine Wagtail
Черноголовая трясогузка  |  Motacilla flava  |  
Желтая трясогузка  |  Motacilla flava  |  Western Yellow Wagtail
Японская трясогузка  |  Motacilla grandis  |  Japanese Wagtail
Камчатская трясогузка  |  Motacilla lugens  |  Black-backed Wagtail
Желтолобая трясогузка  |  Motacilla lutea  |  Yellow-headed Wagtail
Китайская желтая трясогузка  |  Motacilla macronyx  |  Chinese Yellow Wagtail
Маскированная трясогузка  |  Motacilla personata  |  Masked Wagtail
Зеленоголовая трясогузка  |  Motacilla taivana  |  Green-headed Wagtail
Берингийская желтая трясогузка  |  Motacilla tschutschensis  |  Eastern Yellow Wagtail
Малая желтоголовая трясогузка  |  Motacilla werae  |  Lesser Citrine Wagtail
Японский сорокопут  |  Lanius bucephalus  |  Bull-headed Shrike
Обыкновенный жулан  |  Lanius collurio  |  Red-backed Shrike
Сибирский жулан  |  Lanius cristatus  |  Brown Shrike
Серый сорокопут  |  Lanius excubitor  |  Great Grey Shrike
Сорокопут пустынный  |  Lanius meridionalis  |  Southern Grey Shrike
Чернолобый сорокопут  |  Lanius minor  |  Lesser Grey Shrike
Сорокопут маскированный  |  Lanius nubicus  |  Masked Shrike
Жулан туркестанский  |  Lanius phoenicuroides  |  Red-tailed Shrike
Сорокопут длиннохвостый  |  Lanius schach  |  Long-tailed Shrike
Красноголовый сорокопут  |  Lanius senator  |  Woodchat Shrike
Клинохвостый сорокопут  |  Lanius sphenocercus  |  Chinese Grey Shrike
Тигровый сорокопут  |  Lanius tigrinus  |  Tiger Shrike
Рыжехвостый жулан  |  Lanius isabellinus  |  
Черноголовая иволга  |  Oriolus chinensis  |  Black-naped Oriole
Обыкновенная иволга  |  Oriolus oriolus  |  Eurasian Golden Oriole
Обыкновенная майна  |  Acridotheres tristis  |  Common Myna
Японский скворец  |  Sturnia philippensis  |  Chestnut-cheeked Starling
Китайский скворец  |  Sturnus sinensis  |  White-shouldered Starling
Малый скворец  |  Sturnus sturninus  |  Daurian Starling
Серый скворец  |  Sturnus cineraceus  |  White-cheeked Starling
Скворец браминский  |  Sturnus pagodarum  |  Brahminy Starling
Розовый скворец  |  Sturnus roseus  |  Rosy Starling
Скворец красноклювый  |  Sturnus sericeus  |  Red-billed Starling
Скворец обыкновенный  |  Sturnus vulgaris  |  Common Starling
Ворон  |  Corvus corax  |  Common Raven
Серая ворона  |  Corvus cornix  |  Hooded Crow
Черная ворона  |  Corvus corone  |  Carrion Crow
Даурская галка  |  Corvus dauuricus  |  Daurian Jackdaw
Грач  |  Corvus frugilegus  |  Rook
Большеклювая ворона  |  Corvus macrorhynchos  |  Jungle Crow
Галка  |  Corvus monedula  |  Western Jackdaw
Черная восточная ворона  |  Corvus orientalis  |  
Ворон пустынный  |  Corvus ruficollis  |  Brown-necked Raven
Голубая сорока  |  Cyanopica cyanus  |  Azure-winged Magpie
Сойка  |  Garrulus glandarius  |  Eurasian
Кедровка  |  Nucifraga caryocatactes  |  Spotted Nutcracker
Кукша  |  Perisoreus infaustus  |  Siberian
Сорока  |  Pica pica  |  Eurasian Magpie
Монгольская сойка  |  Podoces panderi  |  Henderson's Ground
Сойка саксаульная  |  Podoces panderi  |  Pander's Ground
Альпийская галка  |  Pyrrhocorax graculus  |  Alpine Chough
Клушица  |  Pyrrhocorax pyrrhocorax  |  Red-billed Chough
Свиристель  |  Bombycilla garrulus  |  Bohemian Waxwing
Амурский свиристель  |  Bombycilla japonica  |  Japanese Waxwing
Сорокопут свиристелевый  |  Hypocolius ampelinus  |  Grey Hypocolius
Личинкоед  |  Pericrocotus divaricatus  |  Ashy Minivet
Черный бюль-бюль  |  Hypsipetes leucocephalus  |  Black Bulbul
Короткопалый бюльбюль  |  Microscelis amaurotis  |  Brown-eared Bulbul
Бюль-бюль белощекий  |  Pycnonotus leucogenys  |  Himalayan Bulbul
Бюль-бюль китайский  |  Pycnonotus sinensis  |  Light-vented Bulbul
Оляпка  |  Cinclus cinclus  |  White-throated Dipper
Бурая оляпка  |  Cinclus pallasii  |  Brown Dipper
Крапивник  |  Troglodytes troglodytes  |  Eurasian Wren
Черногорлая завирушка  |  Prunella atrogularis  |  Black-throated Accentor
Альпийская завирушка  |  Prunella collaris  |  Alpine Accentor
Бледная завирушка  |  Prunella fulvescens  |  Brown Accentor
Гималайская завирушка  |  Prunella himalayana  |  Altai Accentor
Завирушка Козлова  |  Prunella koslowi  |  Kozlov's Accentor
Лесная завирушка  |  Prunella modularis  |  Dunnock
Сибирская завирушка  |  Prunella montanella  |  Siberian Accentor
Завирушка пестрая  |  Prunella ocularis  |  Radde's Accentor
Японская завирушка  |  Prunella rubida  |  Japanese Accentor
Индийская камышевка  |  Acrocephalus agricola  |  Paddyfield Warbler
Дроздовидная камышевка  |  Acrocephalus arundinaceus  |  Great Reed Warbler
Чернобровая камышевка  |  Acrocephalus bistrigiceps  |  Black-browed Reed Warbler
Садовая камышевка  |  Acrocephalus dumetorum  |  Blyth's Reed Warbler
Тонкоклювая камышевка  |  Acrocephalus melanopogon  |  Moustached Warbler
Камышевка дроздовидная восточная  |  Acrocephalus orientalis  |  Oriental Reed Warbler
Камышевка большеклювая  |  Acrocephalus orinus  |  Large-billed Reed-warbler
Вертлявая камышевка  |  Acrocephalus paludicola  |  Aquatic Warbler
Болотная камышевка  |  Acrocephalus palustris  |  Marsh Warbler
Камышевка-барсучок  |  Acrocephalus schoenobaenus  |  Sedge Warbler
Тростниковая камышевка  |  Acrocephalus scirpaceus  |  Eurasian Reed Warbler
Камышевка просяная  |  Acrocephalus sorghophilus  |  Streaked Reed-warbler
Камышевка дроздовидная южная  |  Acrocephalus stentoreus  |  Clamorous Reed Warbler
Маньчжурская камышевка  |  Acrocephalus tangorum  |  Manchurian Reed Warbler
Широкохвостая камышевка  |  Cettia cetti  |  Cetti's Warbler
Цистикола золотистая  |  Cisticola juncidis  |  Zitting Cisticola
Зеленая пересмешка  |  Hippolais icterina  |  Icterine Warbler
Пустынная пересмешка  |  Hippolais languida  |  Upcher's Warbler
Пересмешка средиземноморская  |  Hippolais olivetorum  |  Olive-tree Warbler
Короткокрылая камышевка  |  Horeites diphone  |  Japanese Bush Warbler
Северная бормотушка  |  Iduna caligata  |  Booted Warbler
Бледная пересмешка  |  Hippolais pallida  |  Eastern Olivaceous Warbler
Южная бормотушка  |  Hippolais rama  |  Sykes's Warbler
Сахалинский сверчок  |  Locustella amnicola  |  Sakhalin Grasshopper Warbler
Певчий сверчок  |  Locustella certhiola  |  Pallas's Grasshopper Warbler
Таежный сверчок  |  Locustella fasciolata  |  Gray's Grasshopper Warbler
Речной сверчок  |  Locustella fluviatilis  |  River Warbler
Пятнистый сверчок  |  Locustella lanceolata  |  Lanceolated Warbler
Соловьиный сверчок  |  Locustella luscinioides  |  Savi's Warbler
Обыкновенный сверчок  |  Locustella naevia  |  Common Grasshopper Warbler
Охотский сверчок  |  Locustella ochotensis  |  Middendorff's Grasshopper Warbler
Островной сверчок  |  Locustella pleskei  |  Styan's Grasshopper Warbler
Японская камышевка  |  Locustella pryeri  |  Marsh Grassbird
Толстоклювая камышевка  |  Phragmaticola aeedon  |  
Светлобрюхая пеночка  |  Phylloscopus bonelli  |  Western Bonelli's Warbler
Пеночка-таловка  |  Phylloscopus borealis  |  Arctic Warbler
Пеночка сахалинская  |  Phylloscopus borealoides  |  Sakhalin Leaf Warbler
Пеночка-теньковка  |  Phylloscopus collybita  |  Common Chiffchaff
Светлоголовая пеночка  |  Phylloscopus coronatus  |  Eastern Crowned Warbler
Бурая пеночка  |  Phylloscopus fuscatus  |  Dusky Warbler
Индийская пеночка  |  Phylloscopus griseolus  |  Sulphur-bellied Warbler
Пеночка тусклая  |  Phylloscopus humei  |  Hume's Leaf Warbler
Пеночка-зарничка  |  Phylloscopus inornatus  |  Yellow-browed Warbler
Кавказская пеночка  |  Phylloscopus lorenzii  |  Common Chiffchaff
Пеночка иранская  |  Phylloscopus neglectus  |  Plain Leaf Warbler
Желтобрюхая пеночка  |  Phylloscopus nitidus  |  Green Warbler
Зеленокрылая пеночка  |  Phylloscopus occipitalis  |  Western Crowned Warbler
Белобрюхая пеночка  |  Phylloscopus orientalis  |  Eastern Bonelli's Warbler
Корольковая пеночка  |  Phylloscopus proregulus  |  Pallas's Leaf Warbler
Толстоклювая пеночка  |  Phylloscopus schwarzi  |  Radde's Warbler
Пеночка-трещотка  |  Phylloscopus sibilatrix  |  Wood Warbler
Горная теньковка  |  Phylloscopus sindianus  |  Mountain Chiffchaff eastern chiffchaff
Пеночка гималайская  |  Phylloscopus subviridis  |  Brooks's Leaf Warbler
Бледноногая пеночка  |  Phylloscopus tenellipes  |  Pale-legged Leaf Warbler
Зеленая пеночка  |  Phylloscopus trochiloides  |  Greenish Warbler
Пеночка-весничка  |  Phylloscopus trochilus  |  Willow Warbler
Скотоцерка  |  Scotocerca inquieta  |  Streaked Scrub Warbler
Славка-завирушка горная  |  Sylvia althaea  |  Hume's Whitethroat
Черноголовая славка  |  Sylvia atricapilla  |  Eurasian Blackcap
Садовая славка  |  Sylvia borin  |  Garden Warbler
Рыжегрудая славка  |  Sylvia cantillans  |  Subalpine Warbler
Серая славка  |  Sylvia communis  |  Common Whitethroat
Певчая славка  |  Sylvia crassirostris  |  Eastern Orphean Warbler
Славка-завирушка  |  Sylvia curruca  |  Lesser Whitethroat
Славка средиземноморская  |  Sylvia melanocephala  |  Sardinian Warbler
Белоусая славка  |  Sylvia mystacea  |  Menetries's Warbler
Пустынная славка  |  Sylvia nana  |  Desert Warbler
Ястребиная славка  |  Sylvia nisoria  |  Barred Warbler
Славка Рюппеля  |  Sylvia rueppelli  |  Rüppell's Warbler
Малая пестрогрудка  |  Tribura davidi  |  Siberian Bush-warbler
Длинноклювая пестрогрудка  |  Locustella major  |  Long-billed bush warbler
Сибирская пестрогрудка  |  Tribura tacsanowskia  |  
Короткохвостка  |  Urosphena squameiceps  |  Asian Stubtail
Синичка расписная  |  Leptopoecile sophiae  |  White-browed Tit-warbler
Рубиновоголовый королек  |  Regulus calendula  |  Ruby-crowned Kinglet
Красноголовый королек  |  Regulus ignicapillus  |  Common Firecrest
Желтоголовый королек  |  Regulus regulus  |  Goldcrest
Волосохохлый дронго  |  Dicrurus hottentottus  |  Hair-crested drongo
Дронго пепельный  |  Dicrurus leucophaeus  |  Ashy Drongo
Черный дронго  |  Dicrurus macrocercus  |  Black Drongo
Комароловка сероголовая  |  Culicicapa ceylonensis  |  Grey-headed Canary-flycatcher
Синяя мухоловка  |  Cyanoptila cyanomelana  |  Blue-and-white Flycatcher
Малая восточная мухоловка  |  Ficedula albicilla  |  Taiga Flycatcher
Мухоловка-белошейка  |  Ficedula albicollis  |  Collared Flycatcher
Мухоловка-пеструшка  |  Ficedula hypoleuca  |  European Pied Flycatcher
Таежная мухоловка  |  Ficedula mugimaki  |  Mugimaki Flycatcher
Японская желтоспинная мухоловка  |  Ficedula narcissina  |  Narcissus Flycatcher
Малая мухоловка  |  Ficedula parva  |  Red-breasted Flycatcher
Мухоловка полуошейниковая  |  Ficedula semitorquata  |  Semicollared Flycatcher
Желтоспинная мухоловка  |  Ficedula zanthopygia  |  Yellow-rumped Flycatcher
Ширококлювая мухоловка  |  Muscicapa dauurica  |  Asian Brown Flycatcher
Пестрогрудая мухоловка  |  Muscicapa griseisticta  |  Grey-streaked Flycatcher
Мухоловка рыжехвостая  |  Muscicapa ruficauda  |  Rusty-tailed Flycatcher
Сибирская мухоловка  |  Muscicapa sibirica  |  Dark-sided Flycatcher
Серая мухоловка  |  Muscicapa striata  |  Spotted Flycatcher
Черная райская мухоловка  |  Terpsiphone atrocaudata  |  Japanese Paradise Flycatcher
Райская мухоловка  |  Terpsiphone paradisi  |  Asian Paradise Flycatcher
Дрозд-отшельник  |  Catharus guttatus  |  Hermit Thrush
Малый дрозд  |  Catharus minimus  |  Grey-cheeked Thrush
Свэнсонов дрозд  |  Catharus ustulatus  |  Swainson's Thrush
Тугайный соловей  |  Cercotrichas galactotes  |  Rufous-tailed Scrub Robin
Горихвостка водяная  |  Chaimarrornis leucocephalus  |  White-capped Redstart
Белоножка  |  Enicurus scouleri  |  Little Forktail
Зарянка  |  Erithacus rubecula  |  European Robin
Соловей-белошейка  |  Irania gutturalis  |  White-throated Robin
Изменчивый дрозд  |  Ixoreus naevius  |  Varied Thrush
Японская зарянка  |  Luscinia akahige  |  Japanese Robin
Соловей-красношейка  |  Luscinia calliope  |  Siberian Rubythroat
Синий соловей  |  Luscinia cyane  |  Siberian Blue Robin
Обыкновенный соловей  |  Luscinia luscinia  |  Thrush Nightingale
Южный соловей  |  Luscinia megarhynchos  |  Common Nightingale
Красношейка черногрудая  |  Luscinia pectoralis  |  White-tailed Rubythroat
Соловей-свистун  |  Luscinia sibilans  |  Rufous-tailed Robin
Варакушка  |  Luscinia svecica  |  Bluethroat
Пестрый каменный дрозд  |  Monticola saxatilis  |  Common Rock Thrush
Синий каменный дрозд  |  Monticola solitarius  |  Blue Rock Thrush
Синяя птица  |  Myophonus caeruleus  |  Blue Whistling Thrush
Каменка златогузая  |  Oenanthe chrysopygia  |  Red-tailed Wheatear
Пустынная каменка  |  Oenanthe deserti  |  Desert Wheatear
Каменка черношейная  |  Oenanthe finschii  |  Finsch's Wheatear
Испанская каменка  |  Oenanthe hispanica  |  Black-eared Wheatear
Каменка-плясунья  |  Oenanthe isabellina  |  Isabelline Wheatear
Каменка белохвостая  |  Oenanthe leucura  |  Black Wheatear
Каменка черноспинная  |  Oenanthe lugens  |  Mourning Wheatear
Обыкновенная каменка  |  Oenanthe oenanthe  |  Northern Wheatear
Каменка черная  |  Oenanthe picata  |  Variable Wheatear
Каменка-плешанка  |  Oenanthe pleschanka  |  Pied Wheatear
Каменка курдистанская  |  Oenanthe xanthoprymna  |  Kurdish Wheatear
Белогорлый дрозд  |  Monticola gularis  |  
Сибирская горихвостка  |  Phoenicurus auroreus  |  Daurian Redstart
Седоголовая горихвостка  |  Phoenicurus caeruleocephalus  |  Blue-capped Redstart
Краснобрюхая горихвостка  |  Phoenicurus erythrogaster  |  Güldenstädt's Redstart
Красноспинная горихвостка  |  Phoenicurus erythronotus  |  Eversmann's Redstart
Горихвостка-чернушка  |  Phoenicurus ochruros  |  Black Redstart
Обыкновенная горихвостка  |  Phoenicurus phoenicurus  |  Common Redstart
Горихвостка сизая  |  Rhyacornis fuliginosus  |  Plumbeous Water Redstart
Чекан черный  |  Saxicola caprata  |  Pied Bush Chat
Большой чекан  |  Saxicola insignis  |  White-throated Bush Chat
Луговой чекан  |  Saxicola rubetra  |  Whinchat
Черноголовый чекан  |  Saxicola torquata  |  African Stonechat
Синехвостка  |  Tarsiger cyanurus  |  Red-flanked Bluetail
Чернозобый дрозд  |  Turdus atrogularis  |  Black-throated Thrush
Белобрюхий дрозд  |  Turdus cardis  |  Japanese Thrush
Золотистый дрозд  |  Turdus chrysolaus  |  Brown-headed Thrush
Бурый дрозд  |  Turdus eunomus  |  Dusky Thrush
Сизый дрозд  |  Turdus hortulorum  |  Grey-backed Thrush
Белобровик  |  Turdus iliacus  |  Redwing
Черный дрозд  |  Turdus merula  |  Common Blackbird
Дрозд странствующий  |  Turdus migratorius  |  American Robin
Дрозд Науманна  |  Turdus naumanni  |  Naumann's Thrush
Оливковый дрозд  |  Turdus obscurus  |  Eyebrowed Thrush
Бледный дрозд  |  Turdus pallidus  |  Pale Thrush
Певчий дрозд  |  Turdus philomelos  |  Song Thrush
Рябинник  |  Turdus pilaris  |  Fieldfare
Краснозобый дрозд  |  Turdus ruficollis  |  Dark-throated Thrush
Белозобый дрозд  |  Turdus torquatus  |  Ring Ouzel
Дрозд одноцветный  |  Turdus unicolor  |  Tickell's Thrush
Деряба  |  Turdus viscivorus  |  Mistle Thrush
Пестрый дрозд  |  Zoothera dauma  |  Scaly Thrush
Сибирский дрозд  |  Zoothera sibirica  |  Siberian Thrush
Тимелия полосатая  |  Garrulax lineatus  |  Streaked Laughingthrush
Усатая синица  |  Panurus biarmicus  |  Bearded Reedling
Тростниковая сутора  |  Paradoxornis polivanovi  |  Reed Parrotbill
Сутора бурая  |  Paradoxornis webbianus  |  Vinous-throated Parrotbill
Длиннохвостая синица  |  Aegithalos caudatus  |  Long-tailed
Ремез китайский  |  Remiz consobrinus  |  Chinese Penduline
Черноголовый ремез  |  Remiz coronatus  |  White-crowned Penduline
Ремез тростниковый  |  Remiz macronyx  |  Black-headed Penduline
Обыкновенный ремез  |  Remiz pendulinus  |  Eurasian Penduline
Московка  |  Parus ater  |  Coal
Синица бухарская  |  Parus bokharensis  |  Turkestan
Обыкновенная лазоревка  |  Parus caeruleus  |  Blue
Сероголовая гаичка  |  Parus cinctus  |  Grey-headed Chickadee
Синица серая  |  Parus cinereus  |  Cinereous
Хохлатая синица  |  Parus cristatus  |  European Crested
Белая лазоревка  |  Parus cyanus  |  Azure
Князек желтогрудый  |  Cyanistes flavipectus  |  Yellow-breasted
Гаичка гирканская  |  Poecile hyrcanus  |  Caspian
Гаичка средиземноморская  |  Parus lugubris  |  Sombre
Большая синица  |  Parus major  |  Great
Восточная синица  |  Parus minor  |  Japanese
Буроголовая гаичка  |  Parus montanus  |  Willow
Черноголовая гаичка  |  Parus palustris  |  Marsh
Рыжешейная синица  |  Periparus rufonuchalis  |  Rufous-naped tit, black-breasted
Джунгарская гаичка  |  Poecile montanus songarus  |  Songar
Тиссовая синица  |  Parus varius  |  Varied
Обыкновенный поползень  |  Sitta europaea  |  Eurasian Nuthatch
Черноголовый поползень  |  Sitta krueperi  |  Krüper's Nuthatch
Поползень малый скальный  |  Sitta neumayer  |  Western Rock Nuthatch
Поползень большой скальный  |  Sitta tephronota  |  Eastern Rock Nuthatch
Косматый поползень  |  Sitta villosa  |  Chinese Nuthatch
Стенолаз  |  Tichodroma muraria  |  Wallcreeper
Короткопалая пищуха  |  Certhia brachydactyla  |  Short-toed Treecreeper
Обыкновенная пищуха  |  Certhia familiaris  |  Eurasian Treecreeper
Пищуха гималайская  |  Certhia himalayana  |  Bar-tailed Treecreeper
Палестинская нектарница  |  Cinnyris osea  |  Palestine Sunbird
Буробокая белоглазка  |  Zosterops erythropleura  |  Chestnut-flanked White-eye
Японская белоглазка  |  Zosterops japonica  |  Japanese White-eye
Миртовый певун  |  Dendroica coronata  |  Yellow-rumped Warbler
Речной певун  |  Seiurus noveboracensis  |  Northern Waterthrush
Вильсония малая  |  Wilsonia pusilla  |  Wilson's Warbler
Снежный воробей  |  Montifringilla nivalis  |  White-winged Snowfinch
Воробей саксаульный  |  Passer ammodendri  |  Saxaul Sparrow
Домовой воробей  |  Passer domesticus  |  House Sparrow
Черногрудый воробей  |  Passer hispaniolensis  |  Spanish Sparrow
Индийский воробей  |  Passer indicus  |  
Полевой воробей  |  Passer montanus  |  Eurasian Tree Sparrow
Рыжий воробей  |  Passer rutilans  |  Russet Sparrow
Воробей пустынный  |  Passer zarudnyi  |  Desert Sparrow
Каменный воробей  |  Petronia petronia  |  Rock Sparrow
Монгольский земляной воробей  |  Pyrgilauda davidiana  |  Père David's Snowfinch
Воробей афганский земляной  |  Pyrgilauda theresae  |  Afghan Snowfinch
Ржавчатый трупиал  |  Euphagus carolinus  |  Rusty Blackbird
Трупиал луговой западный  |  Sturnella neglecta  |  Western Meadowlark
Коноплянка  |  Acanthis cannabina  |  
Обыкновенная чечетка  |  Acanthis flammea  |  Common Redpoll
Горная чечетка  |  Carduelis flavirostris  |  Twite
Пепельная чечетка  |  Acanthis hornemanni  |  Arctic Redpoll
Вьюрок толстоклювый пустынный  |  Bucanetes githagineus  |  Trumpeter Finch
Монгольский снегирь  |  Bucanetes mongolicus  |  Mongolian Finch
Седоголовый щегол  |  Carduelis caniceps  |  
Черноголовый щегол  |  Carduelis carduelis  |  European Goldfinch
Обыкновенная зеленушка  |  Carduelis chloris  |  European Greenfinch
сосновый  |  Carduelis pinus  |  Pine Siskin
Китайская зеленушка  |  Carduelis sinica  |  Grey-capped Greenfinch
  |  Carduelis spinus  |  Eurasian Siskin
Обыкновенная чечевица  |  Carpodacus erythrinus  |  Common Rosefinch
Чечевица розовая  |  Carpodacus grandis  |  Blyth's Rosefinch
Вьюрок красный  |  Carpodacus puniceus  |  Red-fronted Rosefinch
Арчовая чечевица  |  Carpodacus rhodochlamys  |  Red-mantled Rosefinch
Сибирская чечевица  |  Carpodacus roseus  |  Pallas's Rosefinch
Большая чечевица  |  Carpodacus rubicilla  |  Caucasian Great Rosefinch
Воробей короткопалый  |  Carpospiza brachydactyla  |  Pale Rockfinch
Обыкновенный дубонос  |  Coccothraustes coccothraustes  |  Hawfinch
Малый черноголовый дубонос  |  Eophona migratoria  |  Chinese Grosbeak
Большой черноголовый дубонос  |  Eophona personata  |  Japanese Grosbeak
Зяблик  |  Fringilla coelebs  |  Common Chaffinch
Вьюрок  |  Fringilla montifringilla  |  Brambling
Сибирский вьюрок  |  Leucosticte arctoa  |  Asian Rosy Finch
Жемчужный вьюрок  |  Leucosticte brandti  |  Brandt's Mountain Finch
Гималайский вьюрок  |  Leucosticte nemoricola  |  Plain Mountain Finch
Американский вьюрок  |  Leucosticte tephrocotis  |  Gray-crowned Rosy Finch
Клест-еловик  |  Loxia curvirostra  |  Crossbill
Белокрылый клест  |  Loxia leucoptera  |  Two-barred Crossbill
Клест-сосновик  |  Loxia pytyopsittacus  |  Parrot Crossbill
Арчовый дубонос  |  Mycerobas carnipes  |  White-winged Grosbeak
  |  Pinicola enucleator  |  Pine Grosbeak
Серый снегирь  |  Pyrrhula cineracea  |  Baikal Bullfinch
Уссурийский снегирь  |  Pyrrhula griseiventris  |  Eurasian Bullfinch
Обыкновенный снегирь  |  Pyrrhula pyrrhula  |  Eurasian Bullfinch
Краснокрылый чечевичник  |  Rhodopechys sanguinea  |  Eurasian Crimson-winged Finch
Вьюрок буланый  |  Rhodospiza obsoleta  |  Desert Finch
Корольковый вьюрок  |  Serinus pusillus  |  Red-fronted Serin
Европейский вьюрок  |  Serinus serinus  |  European Serin
Длиннохвостый снегирь  |  Uragus sibiricus  |  Long-tailed Rosefinch
Саванная овсянка  |  Ammodramus sandwichensis  |  
